Name,Sex,Military/Civilian
"Dezhurov, Vladimir N.",male,military
"Budarin, Nikolai",male,civilian
Kregel Kevin R.,male,civilian
"Weber, Mary E.",female,civilian
"Gidzenko, Yuri",male,military
"Reiter, Thomas",male,military
"Gernhardt, Michael L.",male,civilian
"Rominger, Kent V.",male,military
"Coleman, Catherine G.",female,military
"Lopez-Alegria, Michael E.",male,military
"Leslie, Fred Weldon",male,civilian
"Sacco, Albert Jr.",male,civilian
Chris Hadfield,male,military
"Jett, Brent W.",male,military
"Scott, Winston E.",male,military
"Wakata, Koichi",male,civilian
"Barry, Daniel T.",male,civilian
"Onufrienko, Yuri",male,military
"Horowitz, Scott J.",male,military
"Cheli, Maurizio",male,military
"Guidoni, Umberto",male,civilian
"Thomas, Andrew S. W.",male,civilian
"Linnehan, Richard M.",male,civilian
"Brady, Charles E., Jr.",male,military
"Favier, Jean-Jacques",male,civilian
Robert Thirsk,male,civilian
"Korzun, Valery",male,military
"André-Deshays, Claudie (Haigneré)",female,civilian
"Lazutkin, Aleksandr",male,civilian
"Ewald, Reinhold",male,civilian
"Kilrain-Still, Susan L.",female,military
"Crouch, Roger Keith",male,civilian
"Linteris, Gregory Thomas",male,civilian
"Noriega, Carlos I.",male,military
"Lu, Edward T.",male,civilian
"Vinogradov, Pavel",male,civilian
"Curbeam, Robert L., Jr.",male,military
"Robinson, Stephen K.",male,civilian
Bjarni Tryggvason,male,civilian
"Bloomfield, Michael J.",male,military
"Lindsey, Steven W.",male,military
"Chawla, Kalpana",female,civilian
"Doi, Takao",male,civilian
"Kadenyuk, Leonid",male,civilian
"Edwards, Joe F., Jr.",male,military
"Reilly, James F.",male,civilian
"Anderson, Michael P.",male,military
"Sharipov, Salizhan",male,military
"Eyharts, Léopold",male,military
"Altman, Scott D.",male,military
"Hire, Kathryn P.",female,military
"Williams, Dafydd Rhys",male,civilian
"Buckey, Jay Clark Jr.",male,civilian
"Pawelczyk, James Anthony",male,civilian
"Gorie, Dominic L.",male,military
"Kavandi, Janet L.",female,civilian
"Padalka, Gennady",male,military
"Baturin, Yuri",male,civilian
"Duque, Pedro",male,civilian
"Sturckow, Frederick W.",male,military
"Bella, Ivan",male,military
"Husband, Rick D.",male,military
"Payette, Julie",female,civilian
"Tokarev, Valeri",male,military
"Ashby, Jeffrey S.",male,military
"Kelly, Scott J.",male,military
"Thiele, Gerhard",male,civilian
"Zalyotin, Sergei",male,military
"Williams, Jeffrey N.",male,military
"Mastracchio, Richard A.",male,civilian
"Burbank, Daniel C.",male,military
"Morukov, Boris",male,civilian
"Melroy, Pamela A.",female,military
"Polansky, Mark L.",male,civilian
"Kelly, James M.",male,military
"Richards, Paul W.",male,civilian
"Phillips, John L.",male,civilian
"Lonchakov, Yuri",male,military
"Tito, Dennis Anthony",male,civilian
"Hobaugh, Charles O.",male,military
"Forrester, Patrick G.",male,military
"Tyurin, Mikhail",male,military
"Kozeyev, Konstantin",male,civilian
"Kelly, Mark E.",male,military
"Tani, Daniel M.",male,civilian
"Carey, Duane G.",male,military
"Massimino, Michael J.",male,civilian
"Frick, Stephen N.",male,military
"Walheim, Rex J.",male,military
"Morin, Lee M.",male,military
"Vittori, Roverto",male,military
"Shuttleworth, M. Richard",male,civilian
"Lockhart, Paul S.",male,military
"Perrin, Philippe",male,military
"Whitson, Peggy A.",female,civilian
"Treshchov, Sergei",male,civilian
"Magnus, Sandra H.",female,civilian
"Sellers, Piers J.",male,civilian
"Yurchikhin, Fyodor",male,civilian
"De Winne, Frank",male,military
"Herrington, John B.",male,military
"Pettit, Donald R.",male,civilian
"McCool, William C.",male,military
"Brown, David M.",male,military
"Clark, Laurel B.",female,military
"Ramon, Ilan",male,military
"Yang, Liwei",male,military
"Fincke, E. Michael",male,military
"Kuipers, Andre",male,civilian
"Shargin, Yuri",male,military
"Noguchi, Soichi",male,civilian
"Camarda, Charles J.",male,civilian
"Olsen, Gregory Hammond",male,civilian
"Fei, Junlong",male,military
Nie Haisheng,male,military
"Pontes, Marcos Cesar",male,military
"Fossum, Michael E.",male,civilian
"Nowak, Lisa M.",female,military
"Wilson, Stephanie D.",female,civilian
"Ferguson, Christopher J.",male,military
"Stefanyshyn-Piper, Heidemarie M.",female,military
"Ansari, Anousheh",female,civilian
"Oefelein, William A.",male,military
"Patrick, Nicholas J. M.",male,civilian
Christer Fuglesang,male,civilian
"Higginbotham, Joan E.",female,civilian
"Williams, Sunita L.",female,military
"Kotov, Oleg",male,military
"Simonyi, Charles (Karoly)",male,civilian
"Archambault, Lee J.",male,military
"Swanson, Steven R.",male,civilian
"Olivas, John D.",male,civilian
"Anderson, Clayton C.",male,civilian
"Caldwell, Tracy E.",female,civilian
"Drew, Alvin Benjamin",male,military
"Morgan, Barbara R.",female,civilian
"Shukor, Sheikh Muszaphar",male,civilian
"Zamka, George D.",male,military
"Wheelock, Douglas H.",male,military
"Nespoli, Paolo A.",male,military
"Poindexter, Alan G.",male,military
"Melvin, Leland D.",male,civilian
"Love, Stanley G.",male,civilian
"Johnson, Gregory H.",male,military
"Behnken, Robert L.",male,military
"Foreman, Michael J.",male,military
"Reisman, Garrett E.",male,civilian
"Volkov, Sergei",male,military
"Kononenko, Oleg D.",male,military
"Yi, Soyeon (Lee So-hyun)",female,civilian
"Ham, Kenneth T.",male,military
"Nyberg, Karen L.",female,civilian
"Garan, Ronald J., Jr.",male,military
"Hoshide, Akihiko",male,civilian
"Chamitoff, Gregory",male,civilian
"Zhai, Zhigang",male,military
"Liu, Boming",male,military
"Jing, Haipeng",male,military
"Garriott, Richard Allen",male,civilian
"Boe, Eric A.",male,military
"Bowen, Stephen G.",male,military
"Kimbrough, Robert S.",male,military
"Antonelli, Dominic A.",male,military
"Acaba, Joseph M.",male,civilian
"Arnold, Richard R., II",male,civilian
"Barratt, Michael R.",male,civilian
"Johnson, Gregory C.",male,civilian
"Good, Michael T.",male,military
"McArthur, K. Megan",female,civilian
"Feustel, Andrew J.",male,civilian
"Romanenko, Roman",male,military
"Hurley, Douglas G.",male,military
"Cassidy, Christopher J.",male,military
"Marshburn, Thomas H.",male,military
"Kopra, Timothy L.",male,military
"Ford, Kevin A.",male,military
"Hernandez, Jose M.",male,civilian
"Stott, Nicole P.",female,civilian
"Surayev, Maksim",male,military
Guy Laliberte,male,civilian
"Wilmore, Barry E.",male,military
"Bresnik, Randolph J.",male,military
"Satcher, Robert L.",male,civilian
"Creamer, Timothy J.",male,military
"Virts, Terry W., Jr.",male,military
"Skvortsov, Aleksandr Jr.",male,military
"Korniyenko, Mikhail",male,civilian
"Dutton, James P.",male,military
"Metcalf-Lindenburger, Dorothy M.",female,civilian
"Yamazaki, Naoko",female,civilian
"Walker, Shannon",female,civilian
"Skripochka, Oleg",male,civilian
"Kondratyev, Dmitri",male,military
"Samokutyayev, Aleksandr",male,military
"Borisenko, Andrei",male,military
"Furukawa, Satoshi",male,civilian
"Shkaplerov, Anton",male,military
"Ivanishin, Anatoli",male,military
"Revin, Sergei",male,civilian
"Liu, Wang",male,military
"Liu, Yang",female,military
"Novitski, Oleg",male,military
"Tarelkin, Yevgeni",male,military
"Misurkin, Aleksandr",male,military
"Parmitano, Luca",male,military
"Zhang, Xiaoguang",male,military
"Wang, Yapi",male,military
"Ryazanski, Sergei",male,civilian
"Hopkins, Michael Scott",male,military
"Artemyev, Oleg",male,military
"Wiseman, Gregory Reid",male,military
"Gerst, Alexander",male,civilian
"Serova, Yelena",female,civilian
"Cristofretti, Samantha",female,military
"Yui, Kimiya",male,military
"Lindgren, Kjell Norwood",male,military
"Mogensen, Andreas",male,civilian
Aidyn (Aydyn) Akanovich Aimbetov,male,military
"Peake, Timothy Nigel",male,military
"Ovchinin, Aleksey",male,military
"Onishi, Takuya",male,civilian
"Rubins, Kathleen",female,civilian
"Chen, Dong",male,military
"Ryzhikov, Sergey",male,military
"Pesquet, Thomas",male,civilian
"Fischer, Jack",male,military
"Vande Hei, Mark",male,military
"Tingle, Scott",male,military
"Kanai, Norishige",male,civilian
"Prokopyev, Sergei",male,military
"Auñón-Chancellor, Serena",female,civilian
"Hague, Tyler",male,military
"Saint-Jaques, David",male,civilian
"McClain, Anne Charlotte",female,military
"Koch, Christina",female,civilian
"Morgan, Andrew",male,military
"Meir, Jessica",female,civilian
"Al Mansoori, Hazzaa",male,military
