id,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,Age of astronaut,mission_title,hours_mission,total_hrs_sum
19,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,1960,1,2,commander,1964,37,Voskhod 1,24.28,51.07
20,"Komarov, Vladimir",male,1927,U.S.S.R/Russia,military,1960,2,2,commander,1967,40,Soyuz 1,26.78,51.07
21,"Feoktistov, Konstantin",male,1926,U.S.S.R/Russia,civilian,1964,1,1,MSP,1964,38,Voskhod 1,24.28,24.28
22,"Yegorov, Boris",male,1937,U.S.S.R/Russia,civilian,1964,1,1,MSP,1964,27,Voskhod 1,24.28,24.28
23,"Belyayev, Pavel",male,1925,U.S.S.R/Russia,military,1960,1,1,commander,1965,40,Voskhod 2,26.03,26.03
24,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,1960,1,2,pilot,1965,31,Voskhod 2,26.03,168.53
25,"Leonov, Aleksei",male,1934,U.S.S.R/Russia,military,1960,2,2,commander,1975,41,Soyuz 19,142,168.53
26,"Grissom, Virgil I.",male,1926,U.S.,military,1959,1,1,commander,1965,39,Gemini 3,4.86,4.86
27,"Young, John W.",male,1930,U.S.,military,1962,1,6,pilot,1965,35,Gemini 3,4.86,835.65
28,"Young, John W.",male,1930,U.S.,military,1962,2,6,pilot,1966,36,Gemini 10,70.77,835.65
29,"Young, John W.",male,1930,U.S.,military,1962,3,6,pilot,1969,39,Apollo 10,192.05,835.65
30,"Young, John W.",male,1930,U.S.,military,1962,4,6,commander,1972,42,Apollo 16,265.85,835.65
31,"Young, John W.",male,1930,U.S.,military,1962,5,6,commander,1981,51,STS-1,54.5,835.65
32,"Young, John W.",male,1930,U.S.,military,1962,6,6,commander,1983,53,STS-9,240,835.65
33,"McDivitt, James A.",male,1929,U.S.,military,1962,1,2,commander,1965,36,Gemini 4,97,338
34,"McDivitt, James A.",male,1929,U.S.,military,1962,2,2,commander,1969,40,Apollo 9,241,338
35,"White, Edward H., II",male,1930,U.S.,military,1962,1,1,pilot,1965,35,Gemini 4,97.93,97.93
36,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,1,4,pilot,1965,35,Gemini 5,191,1179
37,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,2,4,commander,1966,36,Gemini 11,71,1179
38,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,3,4,commander,1969,39,Apollo 12,244,1179
39,"Conrad, Charles, Jr.",male,1930,U.S.,military,1962,4,4,commander,1973,43,Skylab 2,673,1179
40,"Borman, Frank",male,1928,U.S.,military,1962,1,2,commander,1965,37,Gemini 7,330.58,477
41,"Borman, Frank",male,1928,U.S.,military,1962,2,2,commander,1968,40,Apollo 8,147,477
42,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,1,4,pilot,1965,37,Gemini 7,330.58,715.05
43,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,2,4,commander,1966,38,Gemini 12,94,715.05
44,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,3,4,pilot,1968,40,Apollo 8,147,715.05
45,"Lovell, James A., Jr.",male,1928,U.S.,military,1962,4,4,commander,1970,42,Apollo 13,142,715.05
46,"Stafford, Thomas P.",male,1930,U.S.,military,1962,1,4,pilot,1965,35,gemini 6A,25.86,508
47,"Stafford, Thomas P.",male,1930,U.S.,military,1962,2,4,commander,1966,36,Gemini 9A,72,508
48,"Stafford, Thomas P.",male,1930,U.S.,military,1962,3,4,commander,1969,39,Apollo 10,192,508
49,"Stafford, Thomas P.",male,1930,U.S.,military,1962,4,4,commander,1975,45,ASTP,217,508
50,"Armstrong, Neil A.",male,1930,U.S.,civilian,1962,1,2,commander,1966,36,Gemini 8,11,206
51,"Armstrong, Neil A.",male,1930,U.S.,civilian,1962,2,2,commander,1969,39,Apollo 11,195,206
52,"Scott, David R.",male,1932,U.S.,military,1963,1,3,pilot,1966,34,Gemini 8,240.68,546
53,"Scott, David R.",male,1932,U.S.,military,1963,2,3,pilot,1969,37,Apollo 9,241,546
54,"Scott, David R.",male,1932,U.S.,military,1963,3,3,commander,1971,39,Apollo 15,312,546
55,"Cernan, Eugene A.",male,1934,U.S.,military,1963,1,3,pilot,1966,32,Gemini 9A,72,565
56,"Cernan, Eugene A.",male,1934,U.S.,military,1963,2,3,pilot,1969,35,Apollo 10,192.05,565
57,"Cernan, Eugene A.",male,1934,U.S.,military,1963,3,3,commander,1972,38,Apollo 17,302,565
58,"Collins, Michael",male,1930,U.S.,civilian,1963,1,2,pilot,1966,36,Gemini 10,71,266
59,"Collins, Michael",male,1930,U.S.,civilian,1963,2,2,pilot,1969,39,Apollo 11,195,266
60,"Gordon, Richard F., Jr.",male,1929,U.S.,military,1963,1,2,pilot,1966,37,Gemini 11,71.28,315.88
61,"Gordon, Richard F., Jr.",male,1929,U.S.,military,1963,2,2,pilot,1969,40,Apollo 12,244.6,315.88
62,"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,1963,1,2,pilot,1966,36,Gemini 12,94.58,289
63,"Aldrin, Edwin Eugene, Jr.",male,1930,U.S.,military,1963,2,2,pilot,1969,39,Apollo 11,195,289
64,"Eisele, Donn F.",male,1930,U.S.,military,1963,1,1,pilot,1968,38,Apollo 7,260.13,260
65,"Cunningham, Ronnie Walter",male,1932,U.S.,civilian,1963,1,1,pilot,1968,36,Apollo 7,260.13,260.13
66,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,2,3,flight engineer,1985,45,Salyut 7,4035,6065.63
67,"Savinykh, Viktor",male,1940,U.S.S.R/Russia,civilian,1978,3,3,flight engineer,1988,48,2,236,6065.63
68,Jugderdemidiin Gurragchaa,male,1947,Mongolia,civilian,1978,1,1,flight engineer,1981,34,Soyuz 39,188.7,188.7
69,"Crippen, Robert L.",male,1937,U.S.,military,1969,1,4,pilot,1981,44,STS-1,54,565
70,"Crippen, Robert L.",male,1937,U.S.,military,1969,2,4,commander,1983,46,STS-7,146,565
71,"Crippen, Robert L.",male,1937,U.S.,military,1969,3,4,commander,1984,47,STS-41-C,168,565
72,"Crippen, Robert L.",male,1937,U.S.,military,1969,4,4,commander,1984,47,STS-41-G,197,565
73,Dumitru Prunariu,male,1952,Romania,civilian,1978,1,1,MSP,1981,29,Soyuz 40,188.7,188.7
74,"Engle, Joe H.",male,1932,U.S.,military,1966,1,2,commander,1981,49,STS-2,30,224
75,"Engle, Joe H.",male,1932,U.S.,military,1966,2,2,commander,1985,53,STS-51-I,170,224
76,"Truly, Richard H.",male,1937,U.S.,military,1969,1,2,pilot,1981,44,STS-2,54.21,199.34
77,"Truly, Richard H.",male,1937,U.S.,military,1969,2,2,commander,1983,46,STS-8,145.13,199.34
78,"Fullerton, Charles G.",male,1936,U.S.,military,1969,1,2,pilot,1982,46,STS-3,192,382
79,"Fullerton, Charles G.",male,1936,U.S.,military,1969,2,2,commander,1985,49,STS-51-F,190,382
80,"Berezovoy, Anatoly",male,1942,U.S.S.R/Russia,military,1970,1,1,commander,1982,40,Salyut 7,5073,5073.07
81,"Chrétien, Jean-Loup",male,1938,France,military,1980,1,3,MSP,1982,44,Salyut 7,190,1043.32
82,"Chrétien, Jean-Loup",male,1938,France,military,1980,2,3,MSP,1988,50,Mir Aragatz,594,1043.32
83,"Chrétien, Jean-Loup",male,1938,France,military,1980,3,3,MSP,1997,59,STS-86,259.3,1043.32
84,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,1,3,pilot,1982,49,STS-4,169,481
85,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,2,3,commander,1984,51,STS-41-D,144,481
86,"Hartsfield, Henry W., Jr.",male,1933,U.S.,military,1969,3,3,commander,1985,52,STS-61-A,168,481
